building_name,exterior_image_url,interior_image_url,geopoint,latitude,longitude,altitude,new_bld_id,submission_uuid,meta_root_uuid
Rusinga 1 hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708914946/attachments/attCMtBB8FznTiFm3xBw7KTr/,,-0.008354 34.594654 1509.5 33.20100021362305,-0.008354,34.594654,1509.5,62,f9305ecc-9858-4509-b274-2cf1afa3f34d,uuid:f9305ecc-9858-4509-b274-2cf1afa3f34d
Rusinga 2 hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708915504/attachments/att6FcNxjGTuTQHwergcAVZL/,,-0.008339 34.594757 1509.5 64.0999984741211,-0.008339,34.594757,1509.5,63,436ff192-9c3b-453e-b860-f0fcf4304b3a,uuid:436ff192-9c3b-453e-b860-f0fcf4304b3a
Victoria F hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708921736/attachments/attuUrDLXDFX782JHBNFTctv/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708921736/attachments/attvvc82F8rcxa8nVvwTPbra/,-0.008829 34.593754 1511.5 25.83099937438965,-0.008829,34.593754,1511.5,301,1cd64387-e362-4cd2-a529-098bbe98640d,uuid:1cd64387-e362-4cd2-a529-098bbe98640d
Victoria A hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708923677/attachments/attmpvKj7RppfQ9AXwXRzCTB/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708923677/attachments/attuMCSZDmoDvQCSPp25x8D5/,-0.008841 34.593684 1511.5 20,-0.008841,34.593684,1511.5,302,eb400d6f-e91a-43a1-a55e-081bcef9256a,uuid:eb400d6f-e91a-43a1-a55e-081bcef9256a
Victoria B hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708924979/attachments/att8Z7VMPMcLqBc7jFNnUjDZ/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708924979/attachments/attyVbVvUpbMWjpvnZJqhGS2/,-0.008458 34.597411 1508.300048828125 39.599998474121094,-0.008458,34.597411,1508.300049,303,5e8d3c57-b3f7-44f9-9aca-643f47f9a559,uuid:5e8d3c57-b3f7-44f9-9aca-643f47f9a559
Victoria G hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708926081/attachments/attrgukQJMtQsJhcR8TSLtTq/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708926081/attachments/att53rP45igb9x5uWhGEamES/,-0.0088 34.593557 1513.5 30,-0.0088,34.593557,1513.5,304,3d9a232f-a313-47b1-95c6-2fb99009d386,uuid:3d9a232f-a313-47b1-95c6-2fb99009d386
Victoria C hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708926980/attachments/atta22EadGwKVFJPxQcBCcjZ/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708926980/attachments/attdnp4TweyTJ5RLqMAhbLSK/,-0.008591 34.593725 1508.699951171875 20,-0.008591,34.593725,1508.699951,305,e520231f-fc73-41c0-afa5-d29478c54491,uuid:e520231f-fc73-41c0-afa5-d29478c54491
Victoria H hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708927502/attachments/attiayefHeQW2mWVZedfttGe/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708927502/attachments/attFPmkFpzwfhP2Hzj3iSsQk/,-0.00858 34.593719 1508.699951171875 21.600000381469727,-0.00858,34.593719,1508.699951,306,21f6298c-aa45-4435-9da8-b18c48114b21,uuid:21f6298c-aa45-4435-9da8-b18c48114b21
Victoria E hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708928930/attachments/attZVxN5G5eofjSzA5JgowKC/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708928930/attachments/attE2kxtUwKo6KnWkq7znYXZ/,-0.006883 34.595925 1511.199951171875 39.599998474121094,-0.006883,34.595925,1511.199951,307,baf35b62-85ff-473a-a35d-b96a1a77a76a,uuid:baf35b62-85ff-473a-a35d-b96a1a77a76a
Victoria D hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708929813/attachments/attHYx3rVfhxat3p6rvHhioR/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708929813/attachments/attfvczw3X7TtrkygbFJDmUn/,-0.006886 34.595923 1511.199951171875 87.5999984741211,-0.006886,34.595923,1511.199951,308,198b179a-bae0-4689-be8d-a15c3b24847e,uuid:198b179a-bae0-4689-be8d-a15c3b24847e
